Category	Bytes	MiB	AssetPath
KEEP_PROTECTED	12018	0.011	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Misc/GaiaTerrainStitcher.cs
KEEP_PROTECTED	12015	0.011	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Utils/UnityHeightMap.cs
KEEP_PROTECTED	11857	0.011	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/MaskSystem/ImageProcessing.cs
KEEP_PROTECTED	11723	0.011	Assets/Procedural Worlds/Packages - Install/Sky & Lighting Presets/Scripts/LightingPresetHDRP.cs
KEEP_PROTECTED	11694	0.011	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Value Adds/Location System/LocationSystemScriptableObject.cs
KEEP_PROTECTED	11634	0.011	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Lighting System/LightProbeUtils.cs
KEEP_PROTECTED	11422	0.011	Assets/Procedural Worlds/Packages - Install/Gaia/Shaders/Unity/Terrain Tools/Generated/NoiseBlitFBM.shader
KEEP_PROTECTED	11335	0.011	Assets/Procedural Worlds/Packages - Install/Sky & Lighting Presets/Scripts/LightingPresetURP.cs
KEEP_PROTECTED	11301	0.011	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Utils/OrthographicBake.cs
KEEP_PROTECTED	11298	0.011	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Unity/Terrain Tools/Noise/NoiseSettings.cs
KEEP_PROTECTED	11123	0.011	Assets/Procedural Worlds/Packages - Install/Gaia/Shaders/Unity/Terrain Tools/Generated/NoiseBlitNone.shader
KEEP_PROTECTED	11118	0.011	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Lighting System/SRPConversionUtils.cs
KEEP_PROTECTED	11114	0.011	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Water System/Reflections/GaiaPlanarReflectionsHDRP.cs
KEEP_PROTECTED	11105	0.011	Assets/Procedural Worlds/Packages - Install/Gaia/Shaders/PW General/PW_General_Deferred.shader
KEEP_PROTECTED	11074	0.011	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/ResourcesSystem/ResourceProtoTree.cs
KEEP_PROTECTED	10955	0.010	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Stamping System/StamperSettings.cs
KEEP_PROTECTED	10904	0.010	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Utils/MaskedTerrainMesh.cs
KEEP_PROTECTED	10885	0.010	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/ResourcesSystem/ResourceProtoGeNaSpawner.cs
KEEP_PROTECTED	10815	0.010	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/ResourcesSystem/ResourceProtoTexture.cs
KEEP_PROTECTED	10798	0.010	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Mesh Simplifier/Runtime/LODLevel.cs
KEEP_PROTECTED	10604	0.010	Assets/Procedural Worlds/Packages - Install/Gaia/Shaders/Terrain Operations/FilterImageMask.shader
KEEP_PROTECTED	10602	0.010	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Water System/Reflections/ReflectionMasker.cs
KEEP_PROTECTED	10446	0.010	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Mesh Simplifier/Runtime/Math/SymmetricMatrix.cs
KEEP_PROTECTED	10401	0.010	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Utils/GaiaSplatPrototype.cs
KEEP_PROTECTED	10367	0.010	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Misc/GaiaEditorUtils.cs
KEEP_PROTECTED	10341	0.010	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Lighting System/ReflectionProbeEditorUtils.cs
KEEP_PROTECTED	10230	0.010	Assets/Scripts/Character/Player/PlayerStateMachines/PlayerBaseState.cs
KEEP_PROTECTED	10219	0.010	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Unity/Terrain Tools/Noise/API/HlslDescriptions.cs
KEEP_PROTECTED	10028	0.010	Assets/Naganeupseong/Shaders/LWCOperations.hlsl
KEEP_PROTECTED	9892	0.009	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/ExtensionSystem/OverCloudExtension.cs
KEEP_PROTECTED	9791	0.009	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Misc/SpawnerGroupEditor.cs
KEEP_PROTECTED	9756	0.009	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/ResourcesSystem/ResourceProtoDetail.cs
KEEP_PROTECTED	9634	0.009	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Photo Mode/PhotoModeColorPicker.cs
KEEP_PROTECTED	9503	0.009	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Value Adds/FrameRateManager.cs
KEEP_PROTECTED	9450	0.009	Assets/Editor/CodexUnusedAssetAudit.cs
KEEP_PROTECTED	9399	0.009	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Extension System/GaiaExtensionManager.cs
KEEP_PROTECTED	9391	0.009	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Unity/Terrain Tools/Noise/API/GeneratedShaderInfo.cs
KEEP_PROTECTED	9351	0.009	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Session System/GaiaOperation.cs
KEEP_PROTECTED	9315	0.009	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Water System/GaiaWaterGX.cs
KEEP_PROTECTED	9216	0.009	Assets/Procedural Worlds/Frameworks/CleanUp5/Editor/PWCleanUp5EditorDLL.dll
KEEP_PROTECTED	9171	0.009	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Water System/Reflections/PWS_WaterReflectionsEditor.cs
KEEP_PROTECTED	8828	0.008	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Unity/Terrain Tools/Noise/API/FractalType.cs
KEEP_PROTECTED	8798	0.008	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Misc/GaiaSessionEditor.cs
KEEP_PROTECTED	8674	0.008	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Utils/Vector2Double.cs
KEEP_PROTECTED	8671	0.008	Assets/Scripts/Character/Player/PlayerStateMachines/PlayerComboAttackStateBase.cs
KEEP_PROTECTED	8592	0.008	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Lighting System/GaiaSkiesGX.cs
KEEP_PROTECTED	8433	0.008	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Wind System/WindManager.cs
KEEP_PROTECTED	8405	0.008	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Water System/GaiaUnderwaterEffectsEditor.cs
KEEP_PROTECTED	8365	0.008	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Value Adds/CameraController.cs
KEEP_PROTECTED	8277	0.008	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Lighting System/PWSkyStandalone.cs
KEEP_PROTECTED	8104	0.008	Assets/Procedural Worlds/Packages - Install/Gaia/Shaders/PW General/PW_Water_Funcs.cginc
KEEP_PROTECTED	8075	0.008	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Unity/Terrain Tools/Noise/ExportNoiseWindow.cs
KEEP_PROTECTED	8028	0.008	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Session System/WorldCreationSettings.cs
KEEP_PROTECTED	7916	0.008	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Unity/Terrain Tools/Noise/API/NoiseType.cs
KEEP_PROTECTED	7703	0.007	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Attributes/PreviewTextureAttribute.cs
KEEP_PROTECTED	7562	0.007	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Lighting System/SelectProfileWindowEditor.cs
KEEP_PROTECTED	7398	0.007	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Utils/UnityPipelineProfile.cs
KEEP_PROTECTED	7301	0.007	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Utils/GaiaStopwatch.cs
KEEP_PROTECTED	7296	0.007	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Editor/Lighting System/UIConfigurationEditor.cs
KEEP_PROTECTED	7279	0.007	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Water System/AdvancedWaterUtils.cs
KEEP_PROTECTED	7224	0.007	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Photo Mode/TooltipManager.cs
KEEP_PROTECTED	7200	0.007	Assets/Procedural Worlds/Packages - Install/Gaia/Shaders/Unity/Terrain Tools/Generated/NoiseFillFbm.shader
KEEP_PROTECTED	7066	0.007	Assets/Procedural Worlds/Packages - Install/Gaia/Shaders/Unity/Terrain Tools/Generated/NoiseFillNone.shader
KEEP_PROTECTED	7001	0.007	Assets/Procedural Worlds/Packages - Install/Gaia/Shaders/Terrain Operations/FilterDistanceMask.shader
KEEP_PROTECTED	6982	0.007	Assets/Procedural Worlds/Packages - Install/Gaia/Scripts/Core/Mesh Simplifier/Runtime/Utility/ResizableArray.cs
KEEP_PROTECTED	6924	0.007	Assets/Procedural Worlds/Packages - Install/Gaia/Shaders/Unity/Terrain Tools/NoiseLib/FBM/Voronoi.hlsl
KEEP_PROTECTED	6897	0.007	Assets/Procedural Worlds/Packages - Install/Gaia/Shaders/Unity/Terrain Tools/NoiseLib/FBM/Billow.hlsl
KEEP_PROTECTED	6897	0.007	Assets/Procedural Worlds/Packages - Install/Gaia/Shaders/Unity/Terrain Tools/NoiseLib/FBM/Perlin.hlsl
